representation,comparison,relation,bin_left,bin_right,bin_center,density
bioclip,normalized_organ,same,0.46449805893003937,0.4797981143891812,0.4721480866596103,1.9255968883171213
bioclip,normalized_organ,same,0.4797981143891812,0.4950981698483229,0.48744814211875204,1.633513558634192
bioclip,normalized_organ,same,0.4950981698483229,0.5103982253074646,0.5027481975778938,1.3836420777609078
bioclip,normalized_organ,same,0.5103982253074646,0.5256982807666063,0.5180482530370354,1.122721857937444
bioclip,normalized_organ,same,0.5256982807666063,0.540998336225748,0.5333483084961772,0.9295105768086687
bioclip,normalized_organ,same,0.540998336225748,0.5562983916848898,0.5486483639553189,0.7402655096620036
bioclip,normalized_organ,same,0.5562983916848898,0.5715984471440315,0.5639484194144606,0.5595194724770255
bioclip,normalized_organ,same,0.5715984471440315,0.5868985026031732,0.5792484748736024,0.4742458718615396
bioclip,normalized_organ,same,0.5868985026031732,0.602198558062315,0.5945485303327441,0.37962333828820694
bioclip,normalized_organ,same,0.602198558062315,0.6174986135214567,0.6098485857918858,0.31134779759607645
bioclip,normalized_organ,same,0.6174986135214567,0.6327986689805984,0.6251486412510276,0.26035361782601846
bioclip,normalized_organ,same,0.6327986689805984,0.6480987244397401,0.6404486967101692,0.23117361495759636
bioclip,normalized_organ,same,0.6480987244397401,0.6633987798988819,0.655748752169311,0.16941399723608166
bioclip,normalized_organ,same,0.6633987798988819,0.6786988353580237,0.6710488076284528,0.16686428824757754
bioclip,normalized_organ,same,0.6786988353580237,0.6939988908171654,0.6863488630875945,0.1289019544187578
bioclip,normalized_organ,same,0.6939988908171654,0.7092989462763071,0.7016489185467363,0.11473690448263055
bioclip,normalized_organ,same,0.7092989462763071,0.7245990017354489,0.716948974005878,0.09235612558354886
bioclip,normalized_organ,same,0.7245990017354489,0.7398990571945906,0.7322490294650197,0.07620796865636449
bioclip,normalized_organ,same,0.7398990571945906,0.7551991126537323,0.7475490849241615,0.07337495866913904
bioclip,normalized_organ,same,0.7551991126537323,0.770499168112874,0.7628491403833031,0.060626413726624535
bioclip,normalized_organ,same,0.770499168112874,0.7857992235720157,0.7781491958424449,0.06402602571129508
bioclip,normalized_organ,same,0.7857992235720157,0.8010992790311575,0.7934492513015866,0.061476316722791725
bioclip,normalized_organ,same,0.8010992790311575,0.8163993344902991,0.8087493067607283,0.056943500743231866
bioclip,normalized_organ,same,0.8163993344902991,0.8316993899494409,0.82404936221987,0.05496039375217325
bioclip,normalized_organ,same,0.8316993899494409,0.8469994454085827,0.8393494176790118,0.05127748076878019
bioclip,normalized_organ,same,0.8469994454085827,0.8622995008677243,0.8546494731381535,0.056093597747064225
bioclip,normalized_organ,same,0.8622995008677243,0.8775995563268661,0.8699495285972952,0.04844447078155477
bioclip,normalized_organ,same,0.8775995563268661,0.892899611786008,0.885249584056437,0.04872777178027731
bioclip,normalized_organ,same,0.892899611786008,0.9081996672451496,0.9005496395155788,0.040795343816046714
bioclip,normalized_organ,same,0.9081996672451496,0.9234997227042914,0.9158496949747205,0.03512932384159527
bioclip,normalized_organ,same,0.9234997227042914,0.9387997781634332,0.9311497504338623,0.018981166914410347
bioclip,normalized_organ,same,0.9387997781634332,0.9540998336225748,0.946449805893004,0.016998059923352796
